"AGE","MALE","IN_LABOR_FORCE","HSTOCKS","MARRIED","AGE_18_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_64_75","AGE_75_plus","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","LTHRIFT","LIRAKH","LINCOME","KNOWL","FINLIT","KNOWL_FINLIT","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree"
75,1,1,1,1,0,0,0,0,0,1,0,0,0,1,-4.60517018598809,14.2792445741964,14.4523597201085,0,0,0,0,0,0,1
75,1,1,1,1,0,0,0,0,0,1,0,0,0,1,-4.60517018598809,13.8643007221337,14.4788774939456,0,0,0,0,0,0,1
52,1,1,1,1,0,0,1,0,0,0,1,0,0,0,14.1787638172631,13.6646876682297,12.6345344832431,0,1,0,0,0,0,1
52,1,1,1,1,0,0,1,0,0,0,1,0,0,0,14.1661674295774,13.6646876682297,12.6345344832431,0,1,0,0,0,0,1
52,1,1,1,1,0,0,1,0,0,0,1,0,0,0,14.1462521198765,13.6646876682297,12.6380494253387,0,1,0,0,0,0,1
52,1,1,1,1,0,0,1,0,0,0,1,0,0,0,14.1877635318663,13.6646876682297,12.6345344832431,0,1,0,0,0,0,1
52,1,1,1,1,0,0,1,0,0,0,1,0,0,0,14.1583907908808,13.6646876682297,12.6380494253387,0,1,0,0,0,0,1
62,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.9558521586151,1,1,1,0,0,1,0
62,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.9558521586151,1,1,1,0,0,1,0
62,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.9558521586151,1,1,1,0,0,1,0
62,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.9558521586151,1,1,1,0,0,1,0
62,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.9558521586151,1,1,1,0,0,1,0
63,1,1,1,1,0,0,0,1,0,0,1,0,0,0,13.2085410736454,-4.60517018598809,12.6893427197116,0,1,0,0,0,0,1
63,1,1,1,1,0,0,0,1,0,0,1,0,0,0,13.2410349071218,-4.60517018598809,12.6893427197116,0,1,0,0,0,0,1
63,1,1,1,1,0,0,0,1,0,0,1,0,0,0,14.6570777436425,-4.60517018598809,12.6893427197116,0,1,0,0,0,0,1
63,1,1,1,1,0,0,0,1,0,0,1,0,0,0,12.4950039373824,-4.60517018598809,12.6893427197116,0,1,0,0,0,0,1
63,1,1,1,1,0,0,0,1,0,0,1,0,0,0,14.5186080693774,-4.60517018598809,12.6893427197116,0,1,0,0,0,0,1
57,1,1,1,1,0,0,0,1,0,0,1,0,0,0,14.4935441007142,14.9141228466324,15.062696883594,1,1,1,0,0,0,1
57,1,1,1,1,0,0,0,1,0,0,1,0,0,0,13.8831692064381,14.9141228466324,15.1907786714513,1,1,1,0,0,0,1
57,1,1,1,1,0,0,0,1,0,0,1,0,0,0,15.6480920217126,14.9141228466324,14.9371195762371,1,1,1,0,0,0,1
57,1,1,1,1,0,0,0,1,0,0,1,0,0,0,15.5681826384843,14.9141228466324,15.1432172602571,1,1,1,0,0,0,1
57,1,1,1,1,0,0,0,1,0,0,1,0,0,0,14.1731850022361,14.9141228466324,15.3588830660664,1,1,1,0,0,0,1
41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7.60090245954208,-4.60517018598809,10.6491218911922,0,0,0,0,1,0,0
41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7.60090245954208,-4.60517018598809,10.6491218911922,0,0,0,0,1,0,0
41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7.60090245954208,-4.60517018598809,10.6491218911922,0,0,0,0,1,0,0
41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7.60090245954208,-4.60517018598809,10.6491218911922,0,0,0,0,1,0,0
41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7.60090245954208,-4.60517018598809,10.6491218911922,0,0,0,0,1,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,9.47046689487423,0,0,0,0,0,1,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,9.47046689487423,0,0,0,0,0,1,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,9.47046689487423,0,0,0,0,0,1,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,9.47046689487423,0,0,0,0,0,1,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.60517018598809,-4.60517018598809,9.47046689487423,0,0,0,0,0,1,0
51,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.1752149870986,1,0,0,0,1,0,0
51,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9745442916334,1,0,0,0,1,0,0
51,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.8975832504897,1,0,0,0,1,0,0
51,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.8975832504897,1,0,0,0,1,0,0
51,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.7467603607655,1,0,0,0,1,0,0
62,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,1,0,0,0,0,1,0
62,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,1,0,0,0,0,1,0
62,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,1,0,0,0,0,1,0
62,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,1,0,0,0,0,1,0
62,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,1,0,0,0,0,1,0
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.4298480771523,11.4628970595469,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.4298480771523,11.4628970595469,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.4298480771523,11.4741966148045,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.4298480771523,11.4741966148045,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.4298480771523,11.4628970595469,1,1,1,0,0,0,1
23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,1,0
23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,1,0
23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.0109119357994,0,0,0,0,0,1,0
23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.699132311783,0,0,0,0,0,1,0
23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.7232298633476,0,0,0,0,0,1,0
52,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.3089526606443,-4.60517018598809,12.6893427197116,1,1,1,0,1,0,0
52,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.3089526606443,-4.60517018598809,12.6893427197116,1,1,1,0,1,0,0
52,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.3089526606443,-4.60517018598809,12.6893427197116,1,1,1,0,1,0,0
52,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.3089526606443,-4.60517018598809,12.6893427197116,1,1,1,0,1,0,0
52,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.3089526606443,-4.60517018598809,12.6893427197116,1,1,1,0,1,0,0
42,0,1,0,0,0,1,0,0,0,0,0,1,0,0,9.99879773234045,-4.60517018598809,11.1599475149629,0,0,0,0,0,1,0
42,0,1,0,0,0,1,0,0,0,0,0,1,0,0,9.0595174822416,-4.60517018598809,10.9928934303075,0,0,0,0,0,1,0
42,0,1,0,0,0,1,0,0,0,0,0,1,0,0,10.7363966754712,-4.60517018598809,11.1599475149629,0,0,0,0,0,1,0
42,0,1,0,0,0,1,0,0,0,0,0,1,0,0,10.2399597891573,-4.60517018598809,10.9368039636558,0,0,0,0,0,1,0
